Path,Sample.Name,Phenotype,Cell.ID,Total.Cells,Cell.X.Position,Cell.Y.Position,CD8,FoxP3,PD.L1,CD4,Treg,APC,Epithelial,Tcell,CellType,Group,Patient
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1923,0,92,650,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1943,0,47,658,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,1944,0,54,657,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,1945,0,75,658,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2074,0,1383,710,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2007,0,1298,680,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2016,0,1309,686,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2030,0,1318,688,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2073,0,1322,704,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2078,0,1275,707,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2048,0,1216,693,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2050,0,1235,696,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2070,0,1162,704,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Tcell,2067,0,1113,700,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2069,0,1142,703,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Tcell,2035,0,1106,691,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2072,0,1075,705,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2025,0,513,688,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2049,0,511,695,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2053,0,550,700,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2065,0,531,703,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Tcell,2013,0,448,684,neg,neg,neg,pos,neg,neg,neg,pos,Helper T-Cell,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2034,0,433,690,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Tcell,2042,0,418,693,pos,neg,neg,neg,neg,neg,neg,pos,CTL,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Tcell,2052,0,426,700,pos,neg,neg,neg,neg,neg,neg,pos,CTL,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2033,0,357,694,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2046,0,369,697,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2075,0,358,703,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2076,0,367,706,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2036,0,231,693,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2041,0,208,696,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2044,0,221,696,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2045,0,229,701,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2080,0,218,707,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2089,0,210,712,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2022,0,184,686,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2043,0,177,695,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2058,0,54,702,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2059,0,81,701,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2031,0,22,687,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Other,2055,0,27,698,neg,neg,neg,pos,neg,neg,neg,neg,Other,Chronic Pancreatitis,1027
C:\Users\Sam\Documents\Normal Pancreas - TMAs,1027_1.im3,Epithelial,2089,0,210,712,neg,neg,neg,pos,neg,neg,pos,neg,Tumor,Chronic Pancreatitis,1027
